name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
createJob / request_26 Redirect 1	1005	1005	0	40	40	-1	1070	1070	-1	113	113	-1	112	112	-1	340	340	-1	630	630	-1	t < 800 ms	999	99	800 ms < t < 1200 ms	6	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_27	1005	1005	0	30	30	-1	1560	1560	-1	111	111	-1	107	107	-1	340	340	-1	610	610	-1	t < 800 ms	1003	99	800 ms < t < 1200 ms	1	0	t > 1200 ms	1	0	failed	0	0	1	1	-1
createJob / request_28	1005	1005	0	10	10	-1	830	830	-1	15	15	-1	37	37	-1	20	20	-1	220	220	-1	t < 800 ms	1004	99	800 ms < t < 1200 ms	1	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_29	1005	1005	0	10	10	-1	270	270	-1	14	14	-1	25	25	-1	20	20	-1	220	220	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_30	1005	1005	0	0	0	-1	6940	6940	-1	284	284	-1	522	522	-1	1100	1100	-1	2220	2220	-1	t < 800 ms	901	89	800 ms < t < 1200 ms	74	7	t > 1200 ms	30	2	failed	0	0	1	1	-1
createJob / request_31	1005	1005	0	0	0	-1	210	210	-1	9	9	-1	8	8	-1	10	10	-1	10	10	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_32	1005	1005	0	30	30	-1	1060	1060	-1	41	41	-1	40	40	-1	60	60	-1	100	100	-1	t < 800 ms	1004	99	800 ms < t < 1200 ms	1	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_33	1005	1005	0	90	90	-1	440	440	-1	103	103	-1	38	38	-1	140	140	-1	330	330	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_34	1005	1005	0	170	170	-1	2380	2380	-1	298	298	-1	126	126	-1	450	450	-1	560	560	-1	t < 800 ms	997	99	800 ms < t < 1200 ms	5	0	t > 1200 ms	3	0	failed	0	0	1	1	-1
createJob / request_35	1005	1005	0	170	170	-1	980	980	-1	365	365	-1	85	85	-1	500	500	-1	630	630	-1	t < 800 ms	1003	99	800 ms < t < 1200 ms	2	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_36	1005	1005	0	10	10	-1	570	570	-1	15	15	-1	33	33	-1	20	20	-1	130	130	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_37	1005	1005	0	10	10	-1	90	90	-1	11	11	-1	7	7	-1	20	20	-1	40	40	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_38	1005	1005	0	30	30	-1	390	390	-1	37	37	-1	25	25	-1	70	70	-1	160	160	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_39	1005	1005	0	10	10	-1	7650	7650	-1	498	498	-1	856	856	-1	1580	1580	-1	5930	5930	-1	t < 800 ms	870	86	800 ms < t < 1200 ms	57	5	t > 1200 ms	78	7	failed	0	0	1	1	-1
createJob / request_40	1005	1005	0	10	10	-1	4120	4120	-1	324	324	-1	420	420	-1	970	970	-1	2080	2080	-1	t < 800 ms	936	93	800 ms < t < 1200 ms	39	3	t > 1200 ms	30	2	failed	0	0	1	1	-1
createJob / request_41	1005	1005	0	20	20	-1	7470	7470	-1	321	321	-1	414	414	-1	930	930	-1	1670	1670	-1	t < 800 ms	944	93	800 ms < t < 1200 ms	37	3	t > 1200 ms	24	2	failed	0	0	1	1	-1
createJob / request_42	1005	1005	0	10	10	-1	2550	2550	-1	310	310	-1	319	319	-1	840	840	-1	1560	1560	-1	t < 800 ms	940	93	800 ms < t < 1200 ms	45	4	t > 1200 ms	20	1	failed	0	0	1	1	-1
createJob / request_43	1005	1005	0	20	20	-1	3080	3080	-1	328	328	-1	364	364	-1	920	920	-1	1880	1880	-1	t < 800 ms	932	92	800 ms < t < 1200 ms	46	4	t > 1200 ms	27	2	failed	0	0	1	1	-1
createJob / request_44	1005	1005	0	10	10	-1	2980	2980	-1	310	310	-1	342	342	-1	860	860	-1	1760	1760	-1	t < 800 ms	942	93	800 ms < t < 1200 ms	40	3	t > 1200 ms	23	2	failed	0	0	1	1	-1
