name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
MSI Search / request_213	1005	1004	1	310	310	18800	18800	15000	18800	1724	1707	18800	1763	1679	0	5080	5060	18800	7420	7350	18800	t < 800 ms	437	43	800 ms < t < 1200 ms	106	10	t > 1200 ms	461	45	failed	1	0	0	0	0
MSI Search / request_214	1005	1002	3	310	310	11100	19790	19790	16270	2040	2007	13307	2314	2230	2175	6210	6140	16270	11100	10790	16270	t < 800 ms	394	39	800 ms < t < 1200 ms	86	8	t > 1200 ms	522	51	failed	3	0	0	0	0
MSI Search / request_215	1005	1003	2	310	310	15060	16460	16460	15390	2053	2026	15225	2269	2194	165	5990	5910	15390	11800	11170	15390	t < 800 ms	408	40	800 ms < t < 1200 ms	106	10	t > 1200 ms	489	48	failed	2	0	0	0	0
MSI Search / request_216	1005	1001	4	310	310	12200	19060	19060	15710	2059	2012	13840	2357	2239	1648	6000	5960	15710	12200	10090	15710	t < 800 ms	414	41	800 ms < t < 1200 ms	75	7	t > 1200 ms	512	50	failed	4	0	0	0	0
MSI Search / request_217	1005	1003	2	310	310	15320	16390	15820	16390	1954	1926	15855	2330	2248	535	6370	6330	16390	11870	11490	16390	t < 800 ms	427	42	800 ms < t < 1200 ms	89	8	t > 1200 ms	487	48	failed	2	0	0	0	0
MSI Search / request_218	1005	1003	2	310	310	12840	19900	19900	17720	1875	1849	15280	2208	2124	2440	5850	5790	17720	11950	9980	17720	t < 800 ms	442	43	800 ms < t < 1200 ms	86	8	t > 1200 ms	475	47	failed	2	0	0	0	0
MSI Search / request_219	1005	1004	1	310	310	13460	18260	18260	13460	1814	1803	13460	2194	2164	0	5270	5170	13460	11850	11510	13460	t < 800 ms	455	45	800 ms < t < 1200 ms	91	9	t > 1200 ms	458	45	failed	1	0	0	0	0
MSI Search / request_220	1005	1005	0	310	310	-1	18730	18730	-1	1835	1835	-1	1992	1992	-1	5640	5640	-1	9680	9680	-1	t < 800 ms	440	43	800 ms < t < 1200 ms	81	8	t > 1200 ms	484	48	failed	0	0	0	0	-1
MSI Search / request_202 Redirect 1	3	3	0	1960	1960	-1	5280	5280	-1	3327	3327	-1	1417	1417	-1	5280	5280	-1	5280	5280	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
MSI Search / request_204 Redirect 1	3	3	0	1560	1560	-1	4000	4000	-1	2660	2660	-1	1010	1010	-1	4000	4000	-1	4000	4000	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
MSI Search / request_207 Redirect 1	3	3	0	670	670	-1	3150	3150	-1	1603	1603	-1	1102	1102	-1	3150	3150	-1	3150	3150	-1	t < 800 ms	1	33	800 ms < t < 1200 ms	1	33	t > 1200 ms	1	33	failed	0	0	0	0	-1
MSI Search / request_210 Redirect 1	3	2	1	820	820	950	1160	1160	950	977	990	950	138	170	0	1160	1160	950	1160	1160	950	t < 800 ms	0	0	800 ms < t < 1200 ms	2	66	t > 1200 ms	0	0	failed	1	33	0	0	0
MSI Search / request_212 Redirect 1	3	3	0	1340	1340	-1	3770	3770	-1	2170	2170	-1	1132	1132	-1	3770	3770	-1	3770	3770	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
Location Search	1005	876	129	107400	107400	147250	281750	272300	281750	172302	165605	217782	0	0	0	240100	231800	270300	267450	255200	281150	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	876	87	failed	129	12	0	0	0
Location Search / request_221	1005	1003	2	310	310	13290	16220	16220	13500	1844	1821	13395	2126	2064	105	6190	6130	13500	10830	10250	13500	t < 800 ms	451	44	800 ms < t < 1200 ms	87	8	t > 1200 ms	465	46	failed	2	0	0	0	0
Location Search / request_222	1005	1005	0	320	320	-1	20850	20850	-1	1721	1721	-1	1979	1979	-1	5070	5070	-1	10190	10190	-1	t < 800 ms	452	44	800 ms < t < 1200 ms	85	8	t > 1200 ms	468	46	failed	0	0	0	0	-1
